pre,herb1,herb2,herb3,herb4,herb5,herb6,herb7,herb8,herb9,herb10,herb11,herb12,herb13,herb14,herb15,herb16,herb17,herb18,herb19,herb20,herb21,herb22,herb23,herb24,herb25,herb26,herb27
pre1,Achyranthes Root,Anemarrhena Rhizome,Chinese Soft-Shelled Turtle Shell,Cimicifuga,Common Self-Heal Fruit Spike,Gardenia Fruit,Licorice Root,Moutan Root Bark,Rehmannia Root,Stellaria Root,Sweet Wormwood Herb,,,,,,,,,,,,,,,,
pre2,Adenophora Root,Astragalus Root,Codonopsis Root,Danshen Root,Dendrobium,Figwort Root,Fragrant Solomon’S Seal Rhizome,Glehnia Root,Large-Leaf Gentian Root,Sub-Erect Spatholobus Stem,Tangkuei,Zaocys,,,,,,,,,,,,,,,
pre3,Aged Tangerine Peel,Bitter Orange,Chinese Magnolia Vine Fruit,Chinese Thorowax Root,Coix Seed,Danshen Root,Heydyotis,Magnolia Bark,Poria,Red Peony Root,Virgate Wormwood Herb,White Atractylodes Rhizome,,,,,,,,,,,,,,,
pre4,Anemarrhena Rhizome,Cassia Twig,Gypsum,Licorice Root,Polished Round-Grained Rice,,,,,,,,,,,,,,,,,,,,,,
pre5,Astragalus Root,Aucklandia,Ginseng,Licorice Root,Longan Flesh,Polygala Root,Poria Cum Ligno Hospite,Spine Date Seed,Tangkuei,White Atractylodes Rhizome,,,,,,,,,,,,,,,,,
pre6,Chinese Soft-Shelled Turtle Shell,Cimicifuga,Finger Citron,Licorice Root,Moutan Root Bark,Red Peony Root,Rehmannia Root,Sweet Wormwood Herb,Tangkuei,,,,,,,,,,,,,,,,,,
pre7,Anemarrhena Rhizome,Chinese Soft-Shelled Turtle Shell,Rehmannia Root,Sweet Wormwood Herb,Tangkuei,,,,,,,,,,,,,,,,,,,,,,
pre8,Danshen Root,Licorice Root,Peach Kernel,Prepared Rehmannia Root,Red Peony Root,Rehmannia Root,Safflower,Szechwan Lovage Rhizome,Tangkuei,,,,,,,,,,,,,,,,,,
pre9,Asiatic Pennywort Herb,Chinese Soft-Shelled Turtle Shell,Cimicifuga,Coix Seed,Finger Citron,Heydyotis,Licorice Root,Red Peony Root,Rehmannia Root,Sweet Wormwood Herb,,,,,,,,,,,,,,,,,
pre10,Arnebia Root,Asiatic Cornelian Cherry Fruit,Dioscorea Rhizome,Eclipta Herb,Glossy Privet Fruit,Moutan Root Bark,Oriental Waterplantain Rhizome,Poria,Prepared Rehmannia Root,,,,,,,,,,,,,,,,,,
