,drug_English,drug,MOL ID,MOlecule,MOlecule_url,MOleculeName,InChIKey,SMLIES,GIabsorption,Lipinski,Ghose,Veber,Egan,Muegge,SwissADME
1,Oriental Waterplantain Rhizome,泽泻,MOL000359,sitosterol,https://tcmsp-e.com/molecule.php?qn=359,sitosterol,KZJWDPNRJALLNS-ZFVHJZABSA-N,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,Low,Yes,No,Yes,No,No,0
2,Oriental Waterplantain Rhizome,泽泻,MOL000394,choline,https://tcmsp-e.com/molecule.php?qn=394,choline,GDPPXFUBIJJIKR-UHFFFAOYSA-N,C[N+](C)(C)CCO,Low,Yes,No,Yes,Yes,No,0
3,Oriental Waterplantain Rhizome,泽泻,MOL000472,emodin,https://tcmsp-e.com/molecule.php?qn=472,emodin,RHMXXJGYXNZAPX-UHFFFAOYSA-N,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,High,Yes,Yes,Yes,Yes,Yes,1
4,Oriental Waterplantain Rhizome,泽泻,MOL000550,meso-galactitol,https://tcmsp-e.com/molecule.php?qn=550,meso-galactitol,FBPFZTCFMRRESA-GUCUJZIJSA-N,C(C(C(C(C(CO)O)O)O)O)O,Low,Yes,No,Yes,Yes,No,0
5,Oriental Waterplantain Rhizome,泽泻,MOL000734,GLO,https://tcmsp-e.com/molecule.php?qn=734,GLO,GZCGUPFRVQAUEE-SLPGGIOYSA-N,C(C(C(C(C(C=O)O)O)O)O)O,Low,Yes,No,Yes,Yes,No,0
6,Oriental Waterplantain Rhizome,泽泻,MOL000748,HMF,https://tcmsp-e.com/molecule.php?qn=748,HMF,NOEGNKMFWQHSLB-UHFFFAOYSA-N,C1=C(OC(=C1)C=O)CO,High,Yes,No,Yes,Yes,No,1
7,Oriental Waterplantain Rhizome,泽泻,MOL000823,"1h-indole-3-carboxylic,acid",https://tcmsp-e.com/molecule.php?qn=823,"1h-indole-3-carboxylic,acid",KUQQAVBKLJHQJI-UHFFFAOYSA-O,O=C(O)C1=CNC2=CC=CC=C21,High,Yes,No,Yes,Yes,No,1
8,Oriental Waterplantain Rhizome,泽泻,MOL000824,"(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol",https://tcmsp-e.com/molecule.php?qn=824,"(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol",BUPJOLXWQXEJSQ-RBSFLKMASA-N,CC(C)C1=CC2C(CCC2(C)O)C(=C)CC1,High,Yes,Yes,Yes,Yes,No,1
9,Oriental Waterplantain Rhizome,泽泻,MOL000825,"(1R,3aR,4S,7R,8S,8aS)-7-isopropyl-1,4-dimethyl-3,3a,5,6,8,8a-hexahydro-2H-azulene-1,4,7,8-tetrol",https://tcmsp-e.com/molecule.php?qn=825,"(1R,3aR,4S,7R,8S,8aS)-7-isopropyl-1,4-dimethyl-3,3a,5,6,8,8a-hexahydro-2H-azulene-1,4,7,8-tetrol",MAZFBCJNIUKTID-MNQBEEPXSA-N,CC(C)C1(CCC(C2CCC(C2C1O)(C)O)(C)O)O,High,Yes,Yes,Yes,Yes,Yes,1
10,Oriental Waterplantain Rhizome,泽泻,MOL000826,"(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol",https://tcmsp-e.com/molecule.php?qn=826,"(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol",CORLUEPXSCSWOJ-MYZSUADSSA-N,CC1(CCC(=CC2C1CCC2(C)O)C(C)(C)O)O,High,Yes,Yes,Yes,Yes,Yes,1
11,Oriental Waterplantain Rhizome,泽泻,MOL000827,"(1S,3aR,4R,8aS)-7-isopropyl-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol",https://tcmsp-e.com/molecule.php?qn=827,"(1S,3aR,4R,8aS)-7-isopropyl-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol",IWQURBSTAIRNAE-BARDWOONSA-N,CC(C)C1=CC2C(CCC2(C)O)C(CC1)(C)O,High,Yes,Yes,Yes,Yes,Yes,1
12,Oriental Waterplantain Rhizome,泽泻,MOL000828,Alisol A,https://tcmsp-e.com/molecule.php?qn=828,Alisol A,HNOSJVWYGXOFRP-ZDASAUIYSA-N,CC(CC(C(C(C)(C)O)O)O)C1=C2CC(C3C4(CCC(=O)C(C4CCC3(C2(CC1)C)C)(C)C)C)O,High,Yes,No,Yes,Yes,Yes,1
13,Oriental Waterplantain Rhizome,泽泻,MOL000829,Alisol A monoacetate,https://tcmsp-e.com/molecule.php?qn=829,Alisol A monoacetate,WXHUQVMHWUQNTG-VFPOYZOISA-N,CC(CC(C(C(C)(C)O)OC(=O)C)O)C1=C2CC(C3C4(CCC(=O)C(C4CCC3(C2(CC1)C)C)(C)C)C)O,High,Yes,No,Yes,Yes,Yes,1
14,Oriental Waterplantain Rhizome,泽泻,MOL000830,Alisol B,https://tcmsp-e.com/molecule.php?qn=830,Alisol B,GBJKHDVRXAVITG-HKXAQQBESA-N,CC(CC(C1C(O1)(C)C)O)C2=C3CC(C4C5(CCC(=O)C(C5CCC4(C3(CC2)C)C)(C)C)C)O,High,Yes,No,Yes,Yes,Yes,1
15,Oriental Waterplantain Rhizome,泽泻,MOL000831,Alisol B monoacetate,https://tcmsp-e.com/molecule.php?qn=831,Alisol B monoacetate,NLOAQXKIIGTTRE-JOGPTBIUSA-N,CC(CC(C1C(O1)(C)C)OC(=O)C)C2=C3CC(C4C5(CCC(=O)C(C5CCC4(C3(CC2)C)C)(C)C)C)O,High,No,No,Yes,No,No,0
16,Oriental Waterplantain Rhizome,泽泻,MOL000832,"alisol,b,23-acetate",https://tcmsp-e.com/molecule.php?qn=832,"alisol,b,23-acetate",QIMPSOXWCKBEBD-PQZUBQKGSA-N,CC(CC(C1C(O1)(C)C)O)C2CCC3(C2CC(C4C3(CCC5C4(CCC(=O)C5)C)C)O)C,High,Yes,No,Yes,Yes,No,1
17,Oriental Waterplantain Rhizome,泽泻,MOL000833,"alisol,f",https://tcmsp-e.com/molecule.php?qn=833,"alisol,f",ONRRNWMNDLHCSK-CXXXDJQYSA-N,C[C@@H]1C2C3OC(C4CC(=O)CC[C@@]4(C)O)C[C@@H](C)C3=C3C[C@H](O)C4C5(C)CCC(=O)C6(CC6)C5CC[C@]4(C)C3C21,High,No,No,Yes,Yes,No,1
18,Oriental Waterplantain Rhizome,泽泻,MOL000834,alpha-D-fructofuranose,https://tcmsp-e.com/molecule.php?qn=834,alpha-D-fructofuranose,RFSUNEUAIZKAJO-ZXXMMSQZSA-N,C(C1C(C(C(O1)(CO)O)O)O)O,Low,Yes,No,Yes,Yes,No,0
19,Oriental Waterplantain Rhizome,泽泻,MOL000835,EA-fructofuranoside,https://tcmsp-e.com/molecule.php?qn=835,EA-fructofuranoside,KQQFKZUGBOQKLW-NGJRWZKOSA-N,CCOC1(C(C(C(O1)CO)O)O)CO,High,Yes,No,Yes,Yes,Yes,1
20,Oriental Waterplantain Rhizome,泽泻,MOL000836,"(2R,3S,4S,5R)-2-ethoxy-2,5-bis(hydroxymethyl)oxolane-3,4-diol",https://tcmsp-e.com/molecule.php?qn=836,"(2R,3S,4S,5R)-2-ethoxy-2,5-bis(hydroxymethyl)oxolane-3,4-diol",KQQFKZUGBOQKLW-OOJXKGFFSA-N,CCOC1(C(C(C(O1)CO)O)O)CO,High,Yes,No,Yes,Yes,Yes,1
21,Oriental Waterplantain Rhizome,泽泻,MOL000837,lismol,https://tcmsp-e.com/molecule.php?qn=837,lismol,BUPJOLXWQXEJSQ-KKUMJFAQSA-N,CC(C)C1=CC2C(CCC2(C)O)C(=C)CC1,High,Yes,Yes,Yes,Yes,No,1
22,Oriental Waterplantain Rhizome,泽泻,MOL000838,alpha-D-Galp-(1->6)-alpha-D-Galp-(1->6)-D-Glu,https://tcmsp-e.com/molecule.php?qn=838,alpha-D-Galp-(1->6)-alpha-D-Galp-(1->6)-D-Glu,FZWBNHMXJMCXLU-YRBKNLIBSA-N,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(C(C(C(C=O)O)O)O)O)O)O)O)O)O)O)O,Low,No,No,No,No,No,0
23,Oriental Waterplantain Rhizome,泽泻,MOL000839,"rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol",https://tcmsp-e.com/molecule.php?qn=839,"rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol",JNTOHIOAISZSEJ-PEZGRIKUSA-N,CC(C)C12CCC(O1)(C3CCC(C3C2O)(C)O)C,High,Yes,Yes,Yes,Yes,Yes,1
24,Oriental Waterplantain Rhizome,泽泻,MOL000840,"orientalol,f",https://tcmsp-e.com/molecule.php?qn=840,"orientalol,f",OPAPNRSNRRMTSU-FAAHXZRKSA-N,CC1=C2C(CC1)C3(CCC(C2O)(O3)C(C)C)C,High,Yes,Yes,Yes,Yes,Yes,1
25,Oriental Waterplantain Rhizome,泽泻,MOL000841,raffinose,https://tcmsp-e.com/molecule.php?qn=841,raffinose,MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O,Low,No,No,No,No,No,0
26,Oriental Waterplantain Rhizome,泽泻,MOL000842,sucrose,https://tcmsp-e.com/molecule.php?qn=842,sucrose,CZMRCDWAGMRECN-UGDNZRGBSA-N,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,Low,No,No,No,No,No,0
27,Oriental Waterplantain Rhizome,泽泻,MOL000843,stachyose,https://tcmsp-e.com/molecule.php?qn=843,stachyose,LMRVFVDBBWZLJM-WXWGKQBZSA-N,-,-,-,-,-,-,-,-
28,Oriental Waterplantain Rhizome,泽泻,MOL000844,Sulfoorientalol A,https://tcmsp-e.com/molecule.php?qn=844,Sulfoorientalol A,PQQXTQLPHMIWHX-CBBWQLFWSA-N,CC(C)C1=CC2C(CCC2(C)S(=O)(=O)O)C(CC1)(C)O,High,Yes,Yes,Yes,Yes,Yes,1
29,Oriental Waterplantain Rhizome,泽泻,MOL000845,Sulfoorientalol B,https://tcmsp-e.com/molecule.php?qn=845,Sulfoorientalol B,ATJUNJLOOOPBEA-LXTVHRRPSA-N,CC(C)C1=CC2C(CCC2(C)O)C(CC1)(CS(=O)(=O)O)O,High,Yes,Yes,Yes,Yes,Yes,1
30,Oriental Waterplantain Rhizome,泽泻,MOL000846,Sulfoorientalol C,https://tcmsp-e.com/molecule.php?qn=846,Sulfoorientalol C,DGQQFMFGQBQZSD-AXRGRBPCSA-N,CC(C)C1=CC2C(CCC2(C)O)C(=CS(=O)(=O)O)CC1,High,Yes,Yes,Yes,Yes,Yes,1
