Genecards	OMIM	Pharmgkb	TTD	DrugBank	Total
TREX1	PTPN22	MS4A3	AAK1	PTGS1	TREX1
ATRIP	FCGR2B	IL3	GAK	PTGS2	ATRIP
ATRIP-TREX1	RC3H1	ERBB2	BTK	AKR1C1	ATRIP-TREX1
IRF5	CR2	STAT3	CD22	SLC22A6	IRF5
STAT4	TLR5	CD274	TNFSF13B	ABCB1	STAT4
TNF	STAT4	DRD2	CD19	CYP2C19	TNF
DNASE1L3	CTLA4	CACNA1S	IFNG	CYP2C9	DNASE1L3
CTLA4	PDCD1	RET	IL6	PRKAA1	CTLA4
DNASE1	TREX1	ALK	JAK1	EDNRA	DNASE1
CR2	DNASE1L3	ADRB2	MS4A1	TP53	CR2
TLR7	IRF5	LSAMP	MAPK12	HSPA5	TLR7
BLK	DNASE1	ACE	TNF	RPS6KA3	BLK
C4A	TLR7	GCSH	FCGR2A	NFKBIA	C4A
PTPN22		CLNK	IFNAR2	TNFAIP6	PTPN22
PDCD1		NKX3-2	IL6R; IL6ST	CASP1	PDCD1
HLA-DRB1		AGT	ALB	CASP3	HLA-DRB1
IL10		CHRNA7	TLR7	IKBKB	IL10
FCGR2B		SLC6A4	CD28	MAPK1	FCGR2B
ITGAM		EMC10	Successful target	CCND1	ITGAM
FCGR2A		AQP4	HSD11B1	MYC	FCGR2A
SOCS1		SAMSN1	CTSS	PCNA	SOCS1
C4B		GSTP1	ROCK2	UGT1A6	C4B
BANK1		GUSBP1	CD40LG	NAT2	BANK1
SPP1		ADRB1	TLR8	SLC22A8	SPP1
TNFSF4		GFRA3	TLR9	NEU1	TNFSF4
C1QA		PSPN	TNFSF13	NR3C1	C1QA
IRAK1		GDNF	FCGR2B	CYP3A4	IRAK1
TNFAIP3		CHRNA3	ICOSLG	CYP19A1	TNFAIP3
FCGR3B		NEUROG3	CD74	CYP3A5	FCGR3B
TNIP1		CHCHD3	ICOS	CYP3A7	TNIP1
IL6		ADRA1D		CYP2A6	IL6
MECP2		SLC7A5		CYP1B1	MECP2
PXK		AGTR1		CYP2B6	PXK
ENG		AGTR2		CYP2C8	ENG
TLR5		CALCA		ALB	TLR5
LOC126860303		DCX		SERPINA6	LOC126860303
MIR223		UGT8		SCN10A	MIR223
ETS1		SHOX2		PTGER1	ETS1
C1R		HOXD10		CYP2D6	C1R
MALAT1		GDPD5		MC2R	MALAT1
MIR30A		CHRNA4		CRH	MIR30A
MIR210		MICOS10		HSD3B2	MIR210
MIR142		PHOX2A		CYP27B1	MIR142
UBE2L3		SERPINI1		CYP24A1	UBE2L3
SLC22A5		VSX2		ANXA1	SLC22A5
