Drug	MolId	MolName	Symbol
Oriental Waterplantain Rhizome	MOL000472	emodin	ESR1
Oriental Waterplantain Rhizome	MOL000472	emodin	PIM1
Oriental Waterplantain Rhizome	MOL000472	emodin	ESR2
Oriental Waterplantain Rhizome	MOL000472	emodin	CSNK2A1
Oriental Waterplantain Rhizome	MOL000472	emodin	PTP4A3
Oriental Waterplantain Rhizome	MOL000472	emodin	ELANE
Oriental Waterplantain Rhizome	MOL000472	emodin	FNTA
Oriental Waterplantain Rhizome	MOL000472	emodin	MCL1
Oriental Waterplantain Rhizome	MOL000472	emodin	BCL2
Oriental Waterplantain Rhizome	MOL000472	emodin	FTO
Oriental Waterplantain Rhizome	MOL000472	emodin	LIMK1
Oriental Waterplantain Rhizome	MOL000472	emodin	LCK
Oriental Waterplantain Rhizome	MOL000472	emodin	CYP19A1
Oriental Waterplantain Rhizome	MOL000472	emodin	ABCB1
Oriental Waterplantain Rhizome	MOL000472	emodin	BCHE
Oriental Waterplantain Rhizome	MOL000472	emodin	XDH
Oriental Waterplantain Rhizome	MOL000472	emodin	ADORA3
Oriental Waterplantain Rhizome	MOL000472	emodin	CYP1B1
Oriental Waterplantain Rhizome	MOL000472	emodin	AURKB
Oriental Waterplantain Rhizome	MOL000472	emodin	KDR
Oriental Waterplantain Rhizome	MOL000472	emodin	PLK1
Oriental Waterplantain Rhizome	MOL000472	emodin	MET
Oriental Waterplantain Rhizome	MOL000472	emodin	AXL
Oriental Waterplantain Rhizome	MOL000472	emodin	EGFR
Oriental Waterplantain Rhizome	MOL000472	emodin	FASN
Oriental Waterplantain Rhizome	MOL000472	emodin	PARP1
Oriental Waterplantain Rhizome	MOL000472	emodin	TNKS2
Oriental Waterplantain Rhizome	MOL000472	emodin	TNKS
Oriental Waterplantain Rhizome	MOL000472	emodin	CRHR1
Oriental Waterplantain Rhizome	MOL000472	emodin	DRD3
Oriental Waterplantain Rhizome	MOL000472	emodin	AKR1B1
Oriental Waterplantain Rhizome	MOL000472	emodin	CDK5R1
Oriental Waterplantain Rhizome	MOL000472	emodin	CCNB3
Oriental Waterplantain Rhizome	MOL000472	emodin	CDK6
Oriental Waterplantain Rhizome	MOL000472	emodin	ABCG2
Oriental Waterplantain Rhizome	MOL000472	emodin	CBR1
Oriental Waterplantain Rhizome	MOL000472	emodin	TBXAS1
Oriental Waterplantain Rhizome	MOL000472	emodin	MGAM
Oriental Waterplantain Rhizome	MOL000472	emodin	HTR2C
Oriental Waterplantain Rhizome	MOL000472	emodin	ESRRA
Oriental Waterplantain Rhizome	MOL000472	emodin	ESRRB
Oriental Waterplantain Rhizome	MOL000472	emodin	LDHA
Oriental Waterplantain Rhizome	MOL000472	emodin	LDHB
Oriental Waterplantain Rhizome	MOL000472	emodin	NOX4
Oriental Waterplantain Rhizome	MOL000472	emodin	FLT3
Oriental Waterplantain Rhizome	MOL000472	emodin	SYK
Oriental Waterplantain Rhizome	MOL000472	emodin	GSK3B
Oriental Waterplantain Rhizome	MOL000472	emodin	ABCC1
Oriental Waterplantain Rhizome	MOL000472	emodin	TTR
Oriental Waterplantain Rhizome	MOL000472	emodin	CFTR
Oriental Waterplantain Rhizome	MOL000472	emodin	AKR1B10
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	AR
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	CYP17A1
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	CYP19A1
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	NR1H3
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	HMGCR
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	ESR1
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	ESR2
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	SHBG
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	SREBF2
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	NPC1L1
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	CYP51A1
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	SQLE
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	RORC
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	SLC6A4
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	RORA
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	PPARA
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	PPARD
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	SERPINA6
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	G6PD
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	IDO1
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	CHRM2
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	UGT2B7
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	ACHE
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	SLC6A2
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	CYP2C19
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	PABPC1
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	GRM5
Oriental Waterplantain Rhizome	MOL000824	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol	ABHD6
