Node1	Node2	Net	MolName
MOL000472	ESR1	target	emodin
MOL000472	PIM1	target	emodin
MOL000472	ESR2	target	emodin
MOL000472	CSNK2A1	target	emodin
MOL000472	ELANE	target	emodin
MOL000472	BCL2	target	emodin
MOL000472	FTO	target	emodin
MOL000472	LIMK1	target	emodin
MOL000472	LCK	target	emodin
MOL000472	CYP19A1	target	emodin
MOL000472	ABCB1	target	emodin
MOL000472	BCHE	target	emodin
MOL000472	XDH	target	emodin
MOL000472	CYP1B1	target	emodin
MOL000472	KDR	target	emodin
MOL000472	AXL	target	emodin
MOL000472	EGFR	target	emodin
MOL000472	PARP1	target	emodin
MOL000472	TNKS	target	emodin
MOL000472	CRHR1	target	emodin
MOL000472	CDK6	target	emodin
MOL000472	ABCG2	target	emodin
MOL000472	MGAM	target	emodin
MOL000472	FLT3	target	emodin
MOL000472	SYK	target	emodin
MOL000472	GSK3B	target	emodin
MOL000472	ABCC1	target	emodin
MOL000472	TTR	target	emodin
MOL000472	CFTR	target	emodin
MOL000824	AR	target	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol
MOL000824	CYP17A1	target	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol
MOL000824	CYP19A1	target	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol
MOL000824	NR1H3	target	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol
MOL000824	HMGCR	target	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol
MOL000824	ESR1	target	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol
MOL000824	ESR2	target	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol
MOL000824	SHBG	target	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol
MOL000824	RORC	target	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol
MOL000824	SLC6A4	target	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol
MOL000824	PPARD	target	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol
MOL000824	SERPINA6	target	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol
MOL000824	G6PD	target	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol
MOL000824	IDO1	target	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol
MOL000824	CHRM2	target	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol
MOL000824	ACHE	target	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol
MOL000824	CYP2C19	target	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol
MOL000824	ABHD6	target	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol
MOL000824	BCHE	target	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol
MOL000824	PER2	target	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol
MOL000824	HSD17B3	target	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol
MOL000824	TOP1	target	(1R,3aS,8aR)-7-isopropyl-1-methyl-4-methylene-2,3,3a,5,6,8a-hexahydroazulen-1-ol
MOL000825	NR1H3	target	(1R,3aR,4S,7R,8S,8aS)-7-isopropyl-1,4-dimethyl-3,3a,5,6,8,8a-hexahydro-2H-azulene-1,4,7,8-tetrol
MOL000825	NR1H4	target	(1R,3aR,4S,7R,8S,8aS)-7-isopropyl-1,4-dimethyl-3,3a,5,6,8,8a-hexahydro-2H-azulene-1,4,7,8-tetrol
MOL000825	SHH	target	(1R,3aR,4S,7R,8S,8aS)-7-isopropyl-1,4-dimethyl-3,3a,5,6,8,8a-hexahydro-2H-azulene-1,4,7,8-tetrol
MOL000825	HSD11B1	target	(1R,3aR,4S,7R,8S,8aS)-7-isopropyl-1,4-dimethyl-3,3a,5,6,8,8a-hexahydro-2H-azulene-1,4,7,8-tetrol
MOL000825	ESR2	target	(1R,3aR,4S,7R,8S,8aS)-7-isopropyl-1,4-dimethyl-3,3a,5,6,8,8a-hexahydro-2H-azulene-1,4,7,8-tetrol
MOL000825	AR	target	(1R,3aR,4S,7R,8S,8aS)-7-isopropyl-1,4-dimethyl-3,3a,5,6,8,8a-hexahydro-2H-azulene-1,4,7,8-tetrol
MOL000826	CYP19A1	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	PTGFR	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	RORC	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	AR	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	NR1H3	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	ESR1	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	ESR2	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	BRD4	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	BRD2	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	JAK1	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	HMGCR	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	PTGER3	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	SLC6A4	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
