Node	Type	Anemarrhena Rhizome	Eclipta Herb	Asiatic Cornelian Cherry Fruit	Prepared Rehmannia Root	Moutan Root Bark	Dioscorea Rhizome	Glossy Privet Fruit	Oriental Waterplantain Rhizome	Rehmannia Root	Poria
ESR1	gene	0	0	0	0	0	0	0	0	0	0
PIM1	gene	0	0	0	0	0	0	0	0	0	0
ESR2	gene	0	0	0	0	0	0	0	0	0	0
CSNK2A1	gene	0	0	0	0	0	0	0	0	0	0
ELANE	gene	0	0	0	0	0	0	0	0	0	0
BCL2	gene	0	0	0	0	0	0	0	0	0	0
FTO	gene	0	0	0	0	0	0	0	0	0	0
LIMK1	gene	0	0	0	0	0	0	0	0	0	0
LCK	gene	0	0	0	0	0	0	0	0	0	0
CYP19A1	gene	0	0	0	0	0	0	0	0	0	0
ABCB1	gene	0	0	0	0	0	0	0	0	0	0
BCHE	gene	0	0	0	0	0	0	0	0	0	0
XDH	gene	0	0	0	0	0	0	0	0	0	0
CYP1B1	gene	0	0	0	0	0	0	0	0	0	0
KDR	gene	0	0	0	0	0	0	0	0	0	0
AXL	gene	0	0	0	0	0	0	0	0	0	0
EGFR	gene	0	0	0	0	0	0	0	0	0	0
PARP1	gene	0	0	0	0	0	0	0	0	0	0
TNKS	gene	0	0	0	0	0	0	0	0	0	0
CRHR1	gene	0	0	0	0	0	0	0	0	0	0
CDK6	gene	0	0	0	0	0	0	0	0	0	0
ABCG2	gene	0	0	0	0	0	0	0	0	0	0
MGAM	gene	0	0	0	0	0	0	0	0	0	0
FLT3	gene	0	0	0	0	0	0	0	0	0	0
SYK	gene	0	0	0	0	0	0	0	0	0	0
GSK3B	gene	0	0	0	0	0	0	0	0	0	0
ABCC1	gene	0	0	0	0	0	0	0	0	0	0
TTR	gene	0	0	0	0	0	0	0	0	0	0
CFTR	gene	0	0	0	0	0	0	0	0	0	0
AR	gene	0	0	0	0	0	0	0	0	0	0
CYP17A1	gene	0	0	0	0	0	0	0	0	0	0
NR1H3	gene	0	0	0	0	0	0	0	0	0	0
HMGCR	gene	0	0	0	0	0	0	0	0	0	0
SHBG	gene	0	0	0	0	0	0	0	0	0	0
RORC	gene	0	0	0	0	0	0	0	0	0	0
SLC6A4	gene	0	0	0	0	0	0	0	0	0	0
PPARD	gene	0	0	0	0	0	0	0	0	0	0
SERPINA6	gene	0	0	0	0	0	0	0	0	0	0
G6PD	gene	0	0	0	0	0	0	0	0	0	0
IDO1	gene	0	0	0	0	0	0	0	0	0	0
CHRM2	gene	0	0	0	0	0	0	0	0	0	0
ACHE	gene	0	0	0	0	0	0	0	0	0	0
CYP2C19	gene	0	0	0	0	0	0	0	0	0	0
ABHD6	gene	0	0	0	0	0	0	0	0	0	0
PER2	gene	0	0	0	0	0	0	0	0	0	0
HSD17B3	gene	0	0	0	0	0	0	0	0	0	0
TOP1	gene	0	0	0	0	0	0	0	0	0	0
NR1H4	gene	0	0	0	0	0	0	0	0	0	0
SHH	gene	0	0	0	0	0	0	0	0	0	0
HSD11B1	gene	0	0	0	0	0	0	0	0	0	0
PTGFR	gene	0	0	0	0	0	0	0	0	0	0
BRD4	gene	0	0	0	0	0	0	0	0	0	0
BRD2	gene	0	0	0	0	0	0	0	0	0	0
JAK1	gene	0	0	0	0	0	0	0	0	0	0
PTGER3	gene	0	0	0	0	0	0	0	0	0	0
PTGER1	gene	0	0	0	0	0	0	0	0	0	0
PTGER4	gene	0	0	0	0	0	0	0	0	0	0
JAK3	gene	0	0	0	0	0	0	0	0	0	0
JAK2	gene	0	0	0	0	0	0	0	0	0	0
TYK2	gene	0	0	0	0	0	0	0	0	0	0
CA4	gene	0	0	0	0	0	0	0	0	0	0
PTGER2	gene	0	0	0	0	0	0	0	0	0	0
ADRB2	gene	0	0	0	0	0	0	0	0	0	0
ADRB1	gene	0	0	0	0	0	0	0	0	0	0
ADRB3	gene	0	0	0	0	0	0	0	0	0	0
CA3	gene	0	0	0	0	0	0	0	0	0	0
BACE1	gene	0	0	0	0	0	0	0	0	0	0
PIK3CD	gene	0	0	0	0	0	0	0	0	0	0
PRKDC	gene	0	0	0	0	0	0	0	0	0	0
TYR	gene	0	0	0	0	0	0	0	0	0	0
TERT	gene	0	0	0	0	0	0	0	0	0	0
FAAH	gene	0	0	0	0	0	0	0	0	0	0
CD81	gene	0	0	0	0	0	0	0	0	0	0
PTPN2	gene	0	0	0	0	0	0	0	0	0	0
NR3C1	gene	0	0	0	0	0	0	0	0	0	0
PTGS2	gene	0	0	0	0	0	0	0	0	0	0
SIGMAR1	gene	0	0	0	0	0	0	0	0	0	0
PRKCA	gene	0	0	0	0	0	0	0	0	0	0
MAPK14	gene	0	0	0	0	0	0	0	0	0	0
PPARG	gene	0	0	0	0	0	0	0	0	0	0
MTOR	gene	0	0	0	0	0	0	0	0	0	0
