name	Betweenness	Closeness	Degree	Eigenvector	LAC	Network
MAPK1	588.982352205133	0.645161290322581	54	0.198159500956535	15.1481481481481	32.3637288356901
KDR	44.4969473926228	0.52863436123348	19	0.0742907673120499	8.10526315789474	9.16696375519905
TP53	541.626925039186	0.603015075376884	43	0.135637223720551	11.6744186046512	24.8461483124634
JAK2	139.377535087362	0.566037735849057	31	0.129088625311852	12.258064516129	15.83716295045
PLCG1	132.79568892427	0.524017467248908	27	0.0949746668338776	8.88888888888889	11.8156646277699
IL6	140.417631653557	0.533333333333333	25	0.0929439887404442	8.8	12.1648576097106
SRC	1452.17160567856	0.69364161849711	67	0.22574482858181	16.1194029850746	47.7223729455626
GRB2	293.063146752236	0.588235294117647	41	0.155442908406258	14.2926829268293	24.0959693534761
NFKBIA	101.242701408477	0.555555555555556	25	0.0971411094069481	9.76	11.921173365678
EP300	287.569991332561	0.576923076923077	37	0.116383165121078	12.3783783783784	21.6007926051698
STAT3	776.812568218538	0.645161290322581	54	0.201305046677589	16	34.1530074552116
MAPK3	549.570936388208	0.641711229946524	53	0.193968877196312	15.0943396226415	31.8015165453284
CREBBP	217.107042457619	0.579710144927536	33	0.114782802760601	12.5454545454545	18.2985528612826
SYK	66.114327862841	0.538116591928251	26	0.115345537662506	12.4615384615385	14.1685094643918
MAPK11	63.1579541912193	0.545454545454545	22	0.0920940786600113	8.63636363636364	9.7899531024531
PRKCD	65.5216492694882	0.55045871559633	23	0.105435512959957	10.1739130434783	11.3857683982684
PTK2B	123.068751457238	0.545454545454545	30	0.118411384522915	11.4	14.9384212213181
TNF	113.785675617626	0.521739130434783	23	0.0748838037252426	8.69565217391304	10.9077580099639
NR3C1	95.2812593207469	0.538116591928251	26	0.0998128056526184	10.6153846153846	13.3272589338766
PTK2	184.433266122167	0.574162679425837	32	0.127730429172516	13	18.3471571726937
IL2	48.5529078770062	0.552995391705069	26	0.120126359164715	13.1538461538462	14.5262508544088
CCND1	64.2481071335406	0.547945205479452	22	0.0833412259817123	9.90909090909091	12.0757830404889
NFKB1	229.323012816071	0.58252427184466	34	0.120797388255596	10.1764705882353	15.4735995445625
FYN	355.18097093559	0.606060606060606	45	0.164647236466408	15.2	29.9075525952531
AKT1	468.391896460693	0.606060606060606	42	0.147133693099022	11.3333333333333	20.4039312252207
EGFR	222.131046715823	0.591133004926108	39	0.159786313772202	14.7692307692308	21.6134091645812
VEGFA	288.731822627644	0.571428571428571	34	0.118484780192375	10.7058823529412	18.3263302397752
LYN	291.75337671953	0.597014925373134	41	0.157549843192101	14.0487804878049	24.394618775344
MAPK14	168.042785868799	0.585365853658537	35	0.148907244205475	13.7714285714286	18.0264869537157
HDAC1	227.812638413575	0.542986425339366	32	0.094318613409996	10.875	18.5852906142764
YES1	63.1543786291836	0.533333333333333	26	0.104441456496716	12.5384615384615	16.7810219845514
CTNNB1	384.937070136746	0.58252427184466	34	0.109372854232788	8.82352941176471	13.9784339211284
HSP90AA1	704.447627785733	0.621761658031088	48	0.158454284071922	11.0833333333333	24.0069686223329
ESR1	221.087862543294	0.585365853658537	35	0.13482329249382	12.9714285714286	19.1979312335883
JUN	389.693177061359	0.6	40	0.142127141356468	12.25	20.099166342302
STAT5B	115.824870700751	0.560747663551402	30	0.128516137599945	12.1333333333333	15.1609328579917
STAT1	161.516017030345	0.579710144927536	33	0.142118379473686	12.969696969697	16.804561237543
RELA	441.407829430913	0.612244897959184	44	0.150094106793404	12.8181818181818	24.2479942720846
HSP90AB1	48.73413661761	0.519480519480519	18	0.0667751729488373	7.22222222222222	9.09598930481283
AR	100.622275031524	0.558139534883721	25	0.0882600173354149	8.24	10.5142984466514
CXCR4	79.5198684114801	0.515021459227468	20	0.0740579515695572	7.8	10.0103783858041
JAK1	46.083049095497	0.542986425339366	26	0.118255086243153	13.6923076923077	15.4701637114176
PTPN11	180.593596818107	0.588235294117647	38	0.154120460152626	14.7894736842105	22.1311500793318
LCK	236.115378211246	0.6	43	0.175262048840523	17.3023255813953	29.5633409544324
MAPK8	118.655295728258	0.552995391705069	25	0.102445639669895	8.24	9.56621477937267
