GSM	         group
GSM1199386	Control
GSM1199469	Control
GSM1199464	Control
GSM1199437	Control
GSM1199526	Control
GSM1199450	Control
GSM1199384	Control
GSM1199492	Control
GSM1199529	Control
GSM1199418	Control
GSM1199531	Control
GSM1199524	Control
GSM1199440	Control
GSM1199381	Control
GSM1199468	Control
GSM1199415	Control
GSM1199473	Control
GSM1199431	Control
GSM1199439	Control
GSM1199490	Control
GSM1199504	Disease
GSM1199537	Disease
GSM1199480	Disease
GSM1199403	Disease
GSM1199482	Disease
GSM1199462	Disease
GSM1199494	Disease
GSM1199458	Disease
GSM1199479	Disease
GSM1199427	Disease
GSM1199433	Disease
GSM1199353	Disease
GSM1199502	Disease
GSM1199434	Disease
GSM1199404	Disease
GSM1199487	Disease
GSM1199538	Disease
GSM1199409	Disease
GSM1199506	Disease
GSM1199412	Disease
GSM1199425	Disease
GSM1199445	Disease
GSM1199441	Disease
GSM1199507	Disease
GSM1199533	Disease
GSM1199401	Disease
GSM1199532	Disease
GSM1199364	Disease
GSM1199512	Disease
GSM1199514	Disease
GSM1199484	Disease
GSM1199414	Disease
