id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
GSM1199386	0.00353656739251098	0	0	0.263223534362423	0	0.181888851033769	0.0159301005244071	0	0	0	0.249146248198	0	0.233851327492999	0.00478578910422899	0	0	0	0	0.00927582178859866	0	0	0.0383617601030625
GSM1199469	0	0.0109934745874702	0	0.145917544155062	0	0.275728911618128	0.0355203722717025	0	0	0.0491436433815926	0.109885489893372	0	0.279932460418794	0	0	0.00762725804979759	0	0.000195570046544231	0.00869343958024429	0	0	0.0763618359972934
GSM1199464	0.035489276373767	0	0.00236645805618255	0.0467418945906168	0.139469028273291	0.112191118884299	0.0162182542875828	0	0	0	0.240944200270563	0	0.211026103846435	0.000153163582457332	0	0	0	0.000114840692630219	0.00186028745217512	0	0	0.193425373689999
GSM1199437	0.00509589604689366	0.00320138061802103	0	0.0855754672397561	0.164909173406369	0.179978289382424	0.0129701180545318	0	0	0	0.119458932207647	0	0.186041604626625	0.00840350494513461	0	0	0	0	0	0	0	0.234365633472598
GSM1199526	0.0210974703275986	0	0	0.188941839098018	0	0.276213616411483	0.0360359500336092	0	0	0.063304616392156	0.149903917630536	0	0.191054731368594	0	0	0	0	0	0.00712678322036346	0	0	0.0663210755176414
GSM1199450	0.00987710123383249	0.00358774013045309	0	0.219917848665335	0.0236827232725788	0.243250926159198	0.0175853776815721	0	0	0	0.172184737128912	0	0.276577694630263	0	0	0.00517468663645636	0	0	0.00272678181341664	0	0	0.025434382647982
GSM1199384	0	0.00660674649024147	0	0.252582438789466	0	0.194289762208878	0.0192423417978672	0	0	0	0.231416872672925	0	0.189285191576003	6.52707704112237e-05	0	0.0149350710838723	0	0.000573720431755503	0.0100547666975727	0	0	0.0809478174810088
GSM1199492	0.00931083904726684	0	0	0.104852419451398	0.106242200350271	0.0218591034914559	0.0373379233543868	0	0	0.0415811575462725	0.133143166883161	0	0.231326190552543	0.0108332949997492	0	0	0	0.00300737579472631	0.00866453223822415	0	0	0.291841796290546
GSM1199529	0	0	0	0.0241405208603922	0.113155088126861	0.179281400179751	0.0174552311753867	0	0	0	0.115651828096079	0	0.245488363285497	0.00568805393169848	0	0.000896729806405733	0	0	0	0	0	0.298242784537928
GSM1199418	0.00215665362293298	0	0.000106948334249753	0.148992205258087	0	0.261822950768887	0.0288270839847223	0	0	0	0.0766137951317963	0	0.260792755457806	0	0	0.00587257497879741	0	0.00272450908615484	0.0089270982617241	0	0	0.203163425114842
GSM1199531	0.0142301471270475	0	0	0.0189845027766219	0.0480209215154159	0.189055953763459	0.0135452814016051	0	0	0	0.15103396810543	0	0.248938016920335	0.00812646338106473	0	0.00292650489900278	0	0.00198554112269139	0	0.000613832757842819	0	0.302538866229485
GSM1199524	0.00570786002000696	0.00614608639060621	0	0.149161679743454	0.0244298467512729	0.231806240420191	0.0311337984995424	0	0.00106085700714938	0	0.173959113687512	0	0.276054947151916	0	0	0.00222012450769296	0	0	0.00226505970192913	0	0	0.0960543861187274
GSM1199440	0	0.0148935098542558	0	0.100400894919447	0	0.34041458689245	0.00606966380235777	0	0	0	0.137681250149541	0	0.257048760723213	0	0	0	0	0.00102409094236111	0.00386215036079568	0	0	0.138605092355579
GSM1199381	0.00416007404566644	0.0158113242927548	0	0.221336646500615	0	0.126238980029344	0.0468440862056074	0	0.0002918332568925	0.0762067466829886	0.200065322513517	0	0.207837700555002	0	0	0.00317509892506032	0	0.000156294262524093	0.00690983097270806	0	0	0.0909660617573198
GSM1199468	0.00637978711518273	0.00746902967189693	0	0.148336635704132	0.0850495045936923	0.162457540950066	0.0178303302397422	0	0.00107222794876577	0	0.111060321197219	0	0.312840579914039	0.00121458421473392	0	0	0	0	0.001933631095588	0	0	0.144355827354942
GSM1199415	0.0115308117329242	0.00812981058644088	0	0.193824754549618	0	0.140830061785482	0.0408524039078736	0	0	0.136333054877494	0.100082181060901	0	0.327890936117149	0	0	0.00356562529998789	0	0.0024900736046447	0	0	0	0.0344702864774842
GSM1199473	0.0131518323760761	0.016670555205575	0	0.159029788554329	0	0.175403503804571	0.0204418215856867	0	0.00771956324559476	0.0331476910562432	0.121569435511414	0	0.244931967882531	0.000404356909381372	0	0.00888308820037284	0	0.00272704833879583	0	0	0	0.19591934732943
GSM1199431	0.00102243589966685	0.0123261249185792	0	0.0488381235350511	0.0453177743930734	0.138151751421026	0.0326354954515533	0	0	0.00523971397076166	0.182701363854978	0	0.25559995165538	0.00727105800979355	0	0.00364966556757004	0	0.00255409665035499	0.00126554046183887	0	0	0.263426904210373
GSM1199439	0.0529046852132864	0	0	0.0290530032699821	0.194636466786167	0.0649268283728401	0.0285698730128895	0	0	0.00195055602336219	0.198670805502706	0	0.239910942009787	0.00752413906213813	0	0.0017986821435435	0	0.000459480547417372	0.00217118414585987	0	0	0.177423353910021
GSM1199490	0.00634157612993514	0	0	0.206457183554172	0.0918325461999095	0.139854482980348	0.0761531187696215	0	0	0.0702470541240742	0.144125678624973	0	0.190593257639412	0	0	0	0	0	0	0.00143123292159359	0	0.0729638690559608
GSM1199504	0	0	0.00381469984531559	0.0364215400402652	0.0172015334126427	0.167880121333867	0.0153234291007155	0	0	0	0.115889994262472	0	0.274599329353788	0.00362182056592653	0	0	0	0.00104535305038426	7.82589489165143e-05	0	0	0.364123920085707
GSM1199537	0.00594677749122034	0.00137054578913316	0	0.0274072866504175	0.0650056488474884	0.0904542644882755	0.00655620724038699	0	0	0	0.093103794207654	0	0.314144918528768	0	0	0	0	0.00373822058526358	0.000150581163019273	0	0	0.392121755008373
GSM1199480	0	0.00611559331644638	0.00571048743488925	0.0424803643512387	0.0757773075776054	0.0779151698814732	0.00762807388800753	0	0.0058203102885846	0	0.0294812224495331	0	0.397118694080355	0	0	0	0	0.00329280955869686	0.00737683348777176	0	0	0.341283133685398
GSM1199403	0	0.000721688174928315	0	0.230689433117249	0.0574891416587665	0.102097093010069	0.0195034037804824	0	0.00226487370048625	0	0.0984129461663549	0	0.409998355198322	0	0	0.000356045875238725	0	0.00107145347664726	0.00518224850804804	0	0	0.0722133173334076
GSM1199482	0.0276884952716067	0	0	0.16790202889801	0.0310969832480755	0.0902911857771986	0.0250773892349282	0	0.00336174955714699	0	0.168829832357652	0	0.357114904866742	0	0	0.00318572370235931	0	0.000707731060354985	0.0067630772154695	0	0	0.117980898810456
GSM1199462	0	0.00161160739591742	0	0.0528802933606986	0.0351347762517452	0.166206181190081	0.0217038679574229	0	0	0	0.122403655135058	0	0.482701032421454	0	0	0	0	0.00100741433590888	0.00438930042379956	0	0	0.111961871527915
GSM1199494	0.021291237091369	0.00498045264750336	0	0.15574799449718	0.00841550087158512	0.27432503243581	0.0123570666044636	0	0.000410924112514327	0	0.0909737910665543	0	0.306784407944173	0	0	0.000736654045048722	0	0.000722041406279323	0.00578623813698202	0	0	0.117468659140537
GSM1199458	0.00144873035345726	0	0	0.25606486290839	0.0703514989515171	0.0958930216197472	0.0165544228213582	0	0.00876743698569201	0	0.0858222174286635	0	0.31028886383981	0	0	0.00224578675417008	0	0.000264961430620741	0	0	0	0.152298196906574
GSM1199479	0	0.0184028354000364	0	0.0918370572118002	0.148526936304817	0.0866773490059518	0.0220014243313452	0	0.0556985017872555	0	0.0762407965995304	0	0.356859935154701	0.012510543513598	0	0	0	0.0102417381106062	0.0437892925174459	0	0	0.0772135900629131
GSM1199427	0	0.0113347452892212	0	0.183575653379403	0.00015638411177095	0.0349843158262189	0.0256591061597609	0	0	0.213501308003483	0.0108503651837479	0	0.336064139158546	0.00997938420930661	0	0.0039440467973162	0	0.0132720331459142	0.0133646051149565	0	0	0.143313913620354
GSM1199433	0	0	0	0.163697087755629	0	0.0876540520913266	0.0747651911540344	0	0	0	0.225970934819432	0	0.292650274937477	0.00783384640918994	0	0.0426294298657603	0	0	0.0327755069336105	0	0	0.0720236760335397
GSM1199353	0	2.68513473910498e-05	0	0.195036005385044	0.0551061521386517	0	0.0677497733980603	0	0.00155052522814479	0	0.117045771643649	0	0.394294698893921	0	0	0	0	0.0012888551229323	0.0107709619899056	0	0	0.1571304048523
GSM1199502	0	0.00429586577736284	0	0.122314483953216	0.0447676691302731	0.175968846546429	0.0247840771331955	0	0.0041948187235551	0	0.0903029293351212	0	0.317911215014224	0	0	0	0	0.000788863792982719	0.0037800511140703	0	0	0.210891179479571
GSM1199434	0	0.000326146037968441	0	0.247057059434339	0.0212664131970732	0.127434445444975	0.0464216356713454	0	0.00544775286257244	0	0.133446397679534	0	0.326905711048477	0	0	0.00453183587750679	0	0.00243841832477411	0.000524421838587891	0	0	0.0841997625828469
GSM1199404	0	0.00132458863375678	0	0.0400162062947544	0.0877070140194514	0.0957678695035385	0.0238142061071047	0	0.00695511796543952	0	0.118751747674844	0	0.416404365374704	0	0	0	0	0.00322946035760133	0.0107319091438754	0	0	0.195297514924931
GSM1199487	0.0127277115661322	0	0	0.301766344686841	0	0.0881884662676505	0.0382177390315307	0	0	0.0192397781965474	0.190836713752686	0	0.291708829596303	0	0	0.00179477961052843	0	0.000949142228849932	0.0012250844127835	0	0	0.0533454106501464
GSM1199538	0.0145665097102537	0	0	0.224846230402274	0.116390431017143	0.120896913706516	0.0138704423434162	0	0	0.00317891266934589	0.0952000203760173	0	0.319024648314681	0	0	0	0	0.00161352474808517	0.00603119109790556	0	0	0.0843811756143624
GSM1199409	0	0.0027760753245915	0	0.149151656233334	0.131841855747773	0.156707177438147	0	0	0.00134168581509578	0	0.191699014249815	0	0.267436725123232	0	0	0	0	0.000425255791882679	0.00164750205720922	0	0	0.0969730522189209
GSM1199506	0	0.0132597918898751	0.000677597335288783	0.133161787071548	0.122178212514662	0	0.0261092771773107	0	0.00687308740816794	0	0.0422887104416074	0	0.474423385989	0	0	0.00916781695970983	0	0.00356555413178627	0.0234591122269815	0	0	0.144835666854063
GSM1199412	0	0	0	0.162966757642061	0.1399526713782	0.150706953890537	0.0416013913353375	0	0	0	0.0344331158639733	0	0.324664082930953	0	0	0.00134807645789091	0	0.00147934938040839	0.00346910624592258	0	0	0.139378494874716
GSM1199425	0	0	0	0.262962326879201	0.112813875179276	0.08648351667364	0.0703788899961657	0	0	0.00282262266281709	0.100064311373811	0	0.273402475868179	0	0	0	0	0.00136528394822048	0.0103830397690756	0	0	0.0793236576496147
GSM1199445	0	0.00378826080223585	0.000454952471546766	0.0638076623616432	0.00782372188590387	0.219895162962152	0.028314271283016	0	0	0.00255366073967404	0.11411011669447	0	0.3471744433568	0.00503831901463157	0	0	0	0.00102911377402193	0.00190365579901809	0	0	0.204106658854887
GSM1199441	0.00610927480909331	0	0	0.264620089128379	0.0194686724399474	0.103054772561152	0.0510530101203084	0	0	0.120041279349788	0.0794323524898011	0	0.183643095461303	0	0	0	0	0.000916064749325786	0.00424598318151401	0	0	0.167415405709387
GSM1199507	0	0	0	0.324134494410909	0	0	0.0878294092434391	0	0.00113430094414226	0.0972759103337534	0.181512554253161	0	0.233941246442662	0	0	0.0013392469719217	0	0.00168202602860844	0.0180273145004335	0	0	0.0531234968709689
GSM1199533	0.00243578190132784	0.00176831088398824	0	0.125688226505335	0.14150113912127	0.134308433338231	0.0213067233211231	0	0.0078646650183804	0	0.0921258246857804	0	0.376206877936427	0.000515760839256505	0	0.000987013875066448	0	0.00154813455907165	0.00720487354516532	0	0	0.0865382344695772
GSM1199401	0.0202575345678967	0	0.0173773186050504	0.0966500241204735	0.03829530888479	0.0588261550356618	0.0441303728309068	0	0.00347848306600828	0.0249249485008296	0.149674858674659	0	0.231810870038476	0.00549876740885544	0	0.00200284308166827	0	0.00266832798971648	0.00197999604203369	0	0	0.302424191152974
GSM1199532	0.00178758954175264	0	5.79176776759252e-05	0.0611427502891695	0.0452885816188211	0	0.0396255868700308	0	0	0.0170417151889218	0.117586104053744	0	0.330090524351349	0	0	0.00103380667808816	0	0.00166066188537312	0.00695755728571736	0	0	0.377727204559357
GSM1199364	0.0210926826048308	0	0	0.167834862575795	0.0489184342282222	0.0549054996511101	0.0202064792504447	0	0	0	0.107867096971733	0	0.47478934853352	0.00118741028292626	0	0	0	0.00160316345199847	0	0.000397665641792146	0	0.101197356807627
GSM1199512	0.0177669867152763	0	0	0.0881937344102347	0.09107069188054	0.143611253930551	0.00698588596185069	0	0.0523778645973605	0.0386631900967098	0.108979327730383	0	0.32744942804198	0.00287133713761094	0	0	0	0.0124536353208529	0.00623960750169735	0	0	0.103337056674952
GSM1199514	0	0.0194598207181448	0	0.00380893024490977	0.108984926768618	0	0	0	0.0311500726433665	0.0243897325180823	0.0948860962175501	0	0.404636160285452	0.0174041078756515	0	0	0	0.00989654639015439	0.0281027091958241	0	0	0.257280897142247
GSM1199484	0	0.00331616151823896	0	0.220388435839963	0.12061336619902	0.107923218305725	0.0458091965450198	0	0.004895637834551	0.0239350663651449	0.143796582328694	0	0.204487367055356	0	0	0.00360280490619082	0	0.00338945497611996	0.0238183204309527	0	0	0.0940243876950244
GSM1199414	0.0029628015620107	0	0	0.0528999784545607	0.0669025973124782	0.25858973453409	0.0286621946323337	0	0.000629418220494628	0	0.136854573022156	0	0.322197353033566	0	0	0	0	0.000699623472219828	0.00478153255464494	0	0	0.124820193201445
