ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0051607	defense response to virus	41/153	304/18903	1.16394338498371e-38	1.36229278304856e-35	1.10877507072227e-35	IFI27/RSAD2/ISG15/IFIT3/HERC5/IFIT1/IFITM3/OASL/MX1/IFI44L/DDX60/IFIT2/OAS1/IFI6/EIF2AK2/RTP4/OAS2/OAS3/IFIH1/GBP1/CXCL10/IFIT5/PARP9/PLSCR1/ZBP1/DHX58/RNASE2/DDX60L/TRIM22/MX2/IFI16/IFITM1/STAT1/IRF7/MOV10/DTX3L/BST2/STAT2/TLR2/MYD88/TRIM21	41
BP	GO:0140546	defense response to symbiont	41/153	305/18903	1.3368124427838e-38	1.36229278304856e-35	1.10877507072227e-35	IFI27/RSAD2/ISG15/IFIT3/HERC5/IFIT1/IFITM3/OASL/MX1/IFI44L/DDX60/IFIT2/OAS1/IFI6/EIF2AK2/RTP4/OAS2/OAS3/IFIH1/GBP1/CXCL10/IFIT5/PARP9/PLSCR1/ZBP1/DHX58/RNASE2/DDX60L/TRIM22/MX2/IFI16/IFITM1/STAT1/IRF7/MOV10/DTX3L/BST2/STAT2/TLR2/MYD88/TRIM21	41
BP	GO:0009615	response to virus	45/153	409/18903	1.66403841577592e-38	1.36229278304856e-35	1.10877507072227e-35	IFI27/RSAD2/ISG15/IFI44/IFIT3/HERC5/IFIT1/IFITM3/OASL/MX1/IFI44L/DDX60/IFIT2/OAS1/IFI6/EIF2AK2/RTP4/OAS2/OAS3/IFIH1/GBP1/CXCL10/IFIT5/PARP9/PLSCR1/ZBP1/DHX58/RNASE2/DDX60L/TRIM22/CCL8/MX2/IFI16/IFITM1/STAT1/IRF7/LGALS9/MOV10/DTX3L/BST2/STAT2/TLR2/JAK2/MYD88/TRIM21	45
BP	GO:0050792	regulation of viral process	24/153	162/18903	1.08858633605741e-23	5.72188495936919e-21	4.65706306267877e-21	RSAD2/ISG15/IFIT1/IFITM3/OASL/LY6E/MX1/OAS1/EIF2AK2/OAS2/OAS3/IFIH1/IFIT5/PLSCR1/TRIM22/IFI16/IFITM1/STAT1/LGALS9/BST2/LAMP3/TOP2A/TRIM21/PARP10	24
BP	GO:1903900	regulation of viral life cycle	23/153	142/18903	1.16487885980643e-23	5.72188495936919e-21	4.65706306267877e-21	RSAD2/ISG15/IFIT1/IFITM3/OASL/LY6E/MX1/OAS1/EIF2AK2/OAS2/OAS3/IFIH1/IFIT5/PLSCR1/TRIM22/IFI16/IFITM1/LGALS9/BST2/LAMP3/TOP2A/TRIM21/PARP10	23
BP	GO:0048525	negative regulation of viral process	20/153	91/18903	1.62616598521937e-23	6.65643943283128e-21	5.41770036128347e-21	RSAD2/ISG15/IFIT1/IFITM3/OASL/LY6E/MX1/OAS1/EIF2AK2/OAS2/OAS3/IFIH1/IFIT5/PLSCR1/IFI16/IFITM1/STAT1/BST2/TRIM21/PARP10	20
BP	GO:0045071	negative regulation of viral genome replication	17/153	57/18903	1.16830016587488e-22	4.09906458198387e-20	3.33624363157353e-20	RSAD2/ISG15/IFIT1/IFITM3/OASL/MX1/OAS1/EIF2AK2/OAS2/OAS3/IFIH1/IFIT5/PLSCR1/IFI16/IFITM1/BST2/PARP10	17
BP	GO:0002831	regulation of response to biotic stimulus	30/153	361/18903	6.01386342780829e-22	1.84625607233715e-19	1.50267455913262e-19	ISG15/HERC5/IFIT1/OASL/DDX60/OAS1/OAS3/USP18/PARP9/PLSCR1/ZBP1/IFI35/DHX58/PARP14/IFI16/SERPING1/STAT1/CEACAM1/GBP5/IRF7/FFAR2/LGALS9/DTX3L/STAT2/NOD2/TRAFD1/TRIM21/CDC37/SH2D1B/KLRB1	30
BP	GO:0019079	viral genome replication	21/153	130/18903	1.19343476338375e-21	3.25675086541167e-19	2.65068142183128e-19	IFI27/RSAD2/ISG15/IFIT1/IFITM3/OASL/MX1/OAS1/EIF2AK2/OAS2/OAS3/IFIH1/IFIT5/PLSCR1/CCL2/CCL8/IFI16/IFITM1/BST2/TOP2A/PARP10	21
BP	GO:0019058	viral life cycle	28/153	319/18903	3.71159476254559e-21	9.11567673681197e-19	7.41928258323587e-19	IFI27/RSAD2/ISG15/IFIT1/IFITM3/OASL/LY6E/MX1/OAS1/EIF2AK2/OAS2/OAS3/IFIH1/IFIT5/PLSCR1/TRIM22/CCL2/SIGLEC1/CCL8/IFI16/IFITM1/CHMP5/LGALS9/BST2/LAMP3/TOP2A/TRIM21/PARP10	28
BP	GO:0016032	viral process	31/153	421/18903	4.15571323380229e-21	9.27857427474403e-19	7.55186548420149e-19	IFI27/RSAD2/ISG15/IFIT1/IFITM3/OASL/LY6E/MX1/OAS1/EIF2AK2/OAS2/OAS3/IFIH1/IFIT5/PARP9/PLSCR1/TRIM22/CCL2/SIGLEC1/CCL8/IFI16/IFITM1/STAT1/IRF7/CHMP5/LGALS9/BST2/LAMP3/TOP2A/TRIM21/PARP10	31
BP	GO:0045069	regulation of viral genome replication	18/153	87/18903	9.52501255122377e-21	1.94945256881713e-18	1.58666656445385e-18	RSAD2/ISG15/IFIT1/IFITM3/OASL/MX1/OAS1/EIF2AK2/OAS2/OAS3/IFIH1/IFIT5/PLSCR1/IFI16/IFITM1/BST2/TOP2A/PARP10	18
BP	GO:0045088	regulation of innate immune response	24/153	240/18903	1.48249581042668e-19	2.80077670031378e-17	2.27956238380588e-17	ISG15/OAS1/OAS3/USP18/PARP9/PLSCR1/ZBP1/IFI35/DHX58/PARP14/IFI16/SERPING1/CEACAM1/GBP5/IRF7/FFAR2/LGALS9/STAT2/NOD2/TRAFD1/TRIM21/CDC37/SH2D1B/KLRB1	24
BP	GO:0034340	response to type I interferon	16/153	83/18903	4.95015519813106e-18	8.68398654757849e-16	7.06792836184277e-16	IFI27/ISG15/IFIT1/IFITM3/MX1/OAS1/OAS2/OAS3/USP18/ZBP1/IFITM1/STAT1/IRF7/STAT2/MYD88/CDC37	16
BP	GO:0071357	cellular response to type I interferon	15/153	77/18903	4.7776636333589e-17	7.82262792235297e-15	6.36686543140249e-15	IFI27/ISG15/IFIT1/IFITM3/OAS1/OAS2/OAS3/USP18/ZBP1/IFITM1/STAT1/IRF7/STAT2/MYD88/CDC37	15
BP	GO:0060337	type I interferon signaling pathway	14/153	75/18903	1.03777537684725e-15	1.59298520346053e-13	1.29653647410061e-13	IFI27/ISG15/IFITM3/OAS1/OAS2/OAS3/USP18/ZBP1/IFITM1/STAT1/IRF7/STAT2/MYD88/CDC37	14
BP	GO:0019221	cytokine-mediated signaling pathway	27/153	496/18903	3.70323277385879e-15	5.350082172116e-13	4.35445141644449e-13	IFI27/ISG15/IFITM3/OASL/MX1/OAS1/OAS2/OAS3/USP18/CXCL10/PARP9/ZBP1/CCR1/CCL2/CCL8/TNFSF13B/PARP14/IFITM1/STAT1/CEACAM1/IRF7/IL1RN/STAT2/JAK2/MYD88/CDC37/CXCR5	27
BP	GO:0034341	response to interferon-gamma	16/153	140/18903	2.76515717656121e-14	3.77290334757463e-12	3.07077981186534e-12	IFITM3/GBP1/PARP9/CCL2/CCL8/PARP14/IFITM1/STAT1/GBP5/LGALS9/BST2/TLR2/JAK2/KYNU/TRIM21/CDC37	16
BP	GO:0045824	negative regulation of innate immune response	13/153	77/18903	4.4914176027357e-14	5.80574822753625e-12	4.72531968287817e-12	ISG15/OAS1/OAS3/USP18/DHX58/PARP14/IFI16/SERPING1/CEACAM1/LGALS9/STAT2/TRAFD1/TRIM21	13
BP	GO:0035455	response to interferon-alpha	8/153	20/18903	1.77714263971434e-12	2.1823311615692e-10	1.77620730148291e-10	IFIT3/IFITM3/IFIT2/EIF2AK2/MX2/IFITM1/BST2/LAMP3	8
