id	logFC	AveExpr	t	P.Value	adj.P.Val	B	regulate
IFI27	5.13567272738042	9.16841869432657	8.89604047211972	3.95929947819575e-12	6.84628868104682e-09	17.3062813492947	up
RSAD2	3.20915981476513	7.77000294157117	9.52071285167332	4.17839670295706e-13	4.33508657931795e-09	19.4308911138575	up
ISG15	2.96295361257719	10.3149902612133	8.72624443735914	7.3415570149542e-12	1.01558205373533e-08	16.7215640591989	up
IFI44	2.56049422136097	9.32579846159489	8.91672623613137	3.67301189905166e-12	6.84628868104682e-09	17.3773174560051	up
IFIT3	2.55652067257678	8.86753705445139	8.36530552457012	2.74919476605738e-11	2.59526594505026e-08	15.4696148467198	up
HERC5	2.43367855535396	9.99904993952503	9.02590385359624	2.47320567941659e-12	6.41487723098677e-09	17.7515024936696	up
IFIT1	2.28118608524372	7.92818932725055	8.35296096838103	2.87668032463403e-11	2.59526594505026e-08	15.4265962814313	up
EPSTI1	2.23582908885125	9.50335754056834	8.77076140547631	6.24275467120241e-12	9.26600581204427e-09	16.8751407406694	up
IFITM3	2.14582294760024	10.9991140694454	8.29951704393414	3.5008408107314e-11	2.90569787290707e-08	15.2402113688971	up
OASL	1.94610380599807	7.21657788762486	8.89943173966582	3.910869857313e-12	6.84628868104682e-09	17.3179301669516	up
LY6E	1.85966686507859	10.1823230359352	7.29771354680508	1.4286587245524e-09	6.17597261134631e-07	11.7129518618796	up
MX1	1.84528688037759	11.1863761634629	6.34701903406599	4.89310302837173e-08	1.21843762503981e-05	8.34560391719763	up
IFI44L	1.82324410885572	6.83025245748281	8.48324503762431	1.78387166432799e-11	2.03821335159511e-08	15.8799702581042	up
DDX60	1.71466492843158	7.5638279699017	9.3580930553478	7.47560575745622e-13	5.17062731557389e-09	18.8820468681222	up
CMPK2	1.70730961606331	5.98531852848422	7.91422249756771	1.44975106450057e-10	9.11585896617784e-08	13.8902407030592	up
IFIT2	1.70366710708342	11.0191455003497	6.84809191299138	7.61306304665654e-09	2.63285097030205e-06	10.1188577117473	up
OAS1	1.6691370252678	7.58122594270481	8.47091238920437	1.8663158400148e-11	2.03821335159511e-08	15.8371159409506	up
XAF1	1.66809758340796	8.3368451973045	7.43642587523763	8.52939988530233e-10	4.02238744590962e-07	12.2041289712819	up
IFI6	1.65785682063586	9.84789785207521	9.06798481588561	2.12414180771939e-12	6.40945851205546e-09	17.8953900411819	up
SPATS2L	1.63282219349745	6.57951847702266	7.59591450163367	4.71643664908615e-10	2.35756370958081e-07	12.7681025338261	up
EIF2AK2	1.57236051855012	8.72553750394222	7.2800980008209	1.52541282825804e-09	6.45965636456212e-07	11.6505405860131	up
RTP4	1.57213562928794	6.92683860434996	8.07629089864937	7.96615649275946e-11	5.50992490749196e-08	14.4593462621911	up
HES4	1.56187551482789	7.63295907357015	5.84126311329248	3.15346259293721e-07	5.74900639080502e-05	6.5706649410382	up
OAS2	1.49211851615213	7.41533183020174	7.74522856694519	2.71056759321075e-10	1.52011560970603e-07	13.2951309199333	up
SAMD9L	1.47447756541819	8.35185674132209	8.28875427865093	3.6421411901278e-11	2.90670883442892e-08	15.2026487783985	up
OAS3	1.47071397978459	6.24451648783556	8.53323425562806	1.4855263529059e-11	1.81321598957632e-08	16.0535396796312	up
USP18	1.44776332389869	5.48111908835715	6.81208480107902	8.70423917154395e-09	2.91311230337963e-06	9.99120321373748	up
IFIH1	1.44177872859462	7.89562147710042	9.62736414764054	2.85739536008343e-13	4.33508657931795e-09	19.7891248460713	up
FCGR1A	1.41815830136041	7.32416889165214	7.78974237454638	2.29837460190812e-10	1.40268449969393e-07	13.4520382458652	up
LAP3	1.40692676185359	8.37050404350509	9.25258952988546	1.09187202090822e-12	5.66408610846137e-09	18.5243242660344	up
HERC6	1.40357340997361	7.49331958007564	8.01553747324486	9.96912447576413e-11	6.6728817055518e-08	14.2462097509987	up
GBP1	1.38878321678788	8.66999686896028	8.11176481283118	6.98899732854655e-11	5.000748088529e-08	14.5836800112271	up
CXCL10	1.38821391235285	6.28114096296118	6.84205247287816	7.78604835921263e-09	2.64853284350266e-06	10.0974451807006	up
IFIT5	1.36474210902462	6.52782043317047	7.63419237580072	4.09177493466017e-10	2.17703409985125e-07	12.9033082088069	up
FCGR1B	1.346619890758	7.3247984478794	8.35575037256178	2.84736330546071e-11	2.59526594505026e-08	15.436317945457	up
PARP9	1.27131768514651	8.51032146276176	8.30696140604554	3.40634220664886e-11	2.90569787290707e-08	15.2661871981171	up
PLSCR1	1.26926747139401	6.82917203177905	6.37352817641877	4.43556959455623e-08	1.15047586358802e-05	8.43916154624729	up
OTOF	1.26105002220912	4.90181358131385	6.52507161732759	2.5288505168928e-08	7.18817098979803e-06	8.97468335416866	up
ZBP1	1.25462113921966	8.56630159675908	5.95616674842285	2.06908662194954e-07	4.20917131426009e-05	6.97190921108569	up
IFI35	1.25220734024997	8.81347735287563	8.89698599186599	3.94573642736397e-12	6.84628868104682e-09	17.3095292760642	up
DHX58	1.25154429000572	6.84854776162095	7.02696786307019	3.91272388189047e-09	1.44980393837906e-06	10.7531677014508	up
RNASE2	1.2125670346441	8.84455246339859	6.5461151396987	2.33884774715168e-08	6.83536489484471e-06	9.04912725858003	up
DDX60L	1.19051871641588	7.53933284167501	6.07950278074512	1.31442395644976e-07	2.81178320580748e-05	7.40405834897082	up
LGALS3BP	1.17892691383952	5.71932505218298	5.92582394103805	2.3129267490602e-07	4.53063853529355e-05	6.86581697371979	up
TRIM22	1.17666074662475	9.2937160503393	7.60659085088022	4.53316967003802e-10	2.35158176633222e-07	12.8058200555426	up
CCR1	1.16631857635836	8.33875137466613	7.76516764238203	2.51748105546561e-10	1.45104810835865e-07	13.3654272477849	up
FBXO6	1.16265899274839	7.09114780799947	8.45308175255064	1.99233680188894e-11	2.06704943195978e-08	15.7751335762818	up
BATF2	1.16132589794717	5.11709935572059	6.11528006189681	1.15205130959183e-07	2.54309198659899e-05	7.52966925404273	up
CCL2	1.15657611620897	4.89001958562469	4.79418152422478	1.34471969642017e-05	0.00124566668306779	3.00749378330999	up
CLEC12A	1.14079964473553	8.75626041179178	5.29153035636503	2.31509829563287e-06	0.000312891623578026	4.67494647144853	up
