id	logFC	AveExpr	t	P.Value	adj.P.Val	B	regulate
LAP3	1.40692676185359	8.37050404350509	9.25258952988546	1.09187202090822e-12	5.66408610846137e-09	18.5243242660344	up
CCR1	1.16631857635836	8.33875137466613	7.76516764238203	2.51748105546561e-10	1.45104810835865e-07	13.3654272477849	up
MPO	0.916044190226424	5.86852143530566	3.29852864325843	0.00173301643517679	0.045750751946461	-1.53329481435296	up
STAT1	0.879087740840879	9.90612980847069	7.76616508729798	2.50819277236158e-10	1.45104810835865e-07	13.3689432544791	up
LGALS9	0.773327745262761	6.53609121620596	6.3557388219222	4.73764049276877e-08	1.213654817592e-05	8.37637393358594	up
CD38	0.726099907958199	5.96123753888366	4.77261969393606	1.44954227754531e-05	0.00131797746170924	2.93651672253179	up
NOD2	0.678924095697819	7.5810329076387	5.04567244733064	5.55918907853594e-06	0.000603943316123669	3.84383871122228	up
C3AR1	0.632568178084168	6.24524600957053	4.06836195536465	0.000156834073041364	0.00809529108360275	0.69516308871562	up
JAK2	0.620328591206709	6.46624012364658	6.13474538035627	1.07225458800864e-07	2.41840029360645e-05	7.59805457955781	up
BLK	-0.800355728341337	5.38621448568906	-5.15191443170967	3.81256582043667e-06	0.000452061375851777	4.20147840334501	down
FCER2	-0.893120440812064	5.56192627374078	-4.60995525960902	2.54417045898782e-05	0.00203982996879685	2.40511161408708	down
