#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCB1	EP300	9606.ENSP00000478255	9606.ENSP00000263253	0	0	0	0	0	0.076	0.900	0.179	0.917
ABCB1	TP53	9606.ENSP00000478255	9606.ENSP00000269305	0	0	0	0	0	0	0.900	0.616	0.960
ABCB1	CYP3A4	9606.ENSP00000478255	9606.ENSP00000337915	0	0	0	0	0.083	0	0	0.962	0.964
ABCB1	MAPK8	9606.ENSP00000478255	9606.ENSP00000378974	0	0	0	0	0	0	0.900	0.214	0.918
ABCC1	ABCG2	9606.ENSP00000382342	9606.ENSP00000237612	0	0	0	0	0.062	0.135	0	0.923	0.932
ACE	AGTR2	9606.ENSP00000290866	9606.ENSP00000360973	0	0	0	0	0.062	0.213	0	0.895	0.916
ACE	AGTR1	9606.ENSP00000290866	9606.ENSP00000419422	0	0	0	0	0.062	0	0	0.922	0.924
ACKR3	CXCR4	9606.ENSP00000272928	9606.ENSP00000386884	0	0	0	0.792	0	0.803	0.800	0.986	0.967
ACP1	EPHA2	9606.ENSP00000272067	9606.ENSP00000351209	0	0	0	0	0	0.281	0.900	0.824	0.986
ACVRL1	TGFBR2	9606.ENSP00000373574	9606.ENSP00000351905	0	0	0	0.759	0.089	0.687	0.900	0.895	0.975
ACVRL1	TGFBR1	9606.ENSP00000373574	9606.ENSP00000364133	0	0	0	0.920	0	0.478	0.900	0.916	0.949
ADA	DCK	9606.ENSP00000361965	9606.ENSP00000286648	0	0	0	0	0	0	0.900	0.564	0.954
ADA	DPP4	9606.ENSP00000361965	9606.ENSP00000353731	0	0	0	0	0.064	0.749	0	0.989	0.997
ADA	PNP	9606.ENSP00000361965	9606.ENSP00000354532	0.081	0	0	0	0.102	0	0.900	0.896	0.990
ADA	ADORA1	9606.ENSP00000361965	9606.ENSP00000356205	0	0	0	0	0	0.478	0	0.845	0.915
ADAM10	BACE1	9606.ENSP00000260408	9606.ENSP00000318585	0	0	0	0	0.082	0.312	0	0.863	0.906
ADAM10	PSEN1	9606.ENSP00000260408	9606.ENSP00000326366	0	0	0	0	0.103	0.312	0	0.861	0.907
ADAM10	CTNNB1	9606.ENSP00000260408	9606.ENSP00000344456	0	0	0	0	0.065	0	0.900	0.503	0.949
ADAM10	EPHA3	9606.ENSP00000260408	9606.ENSP00000337451	0	0	0	0	0.061	0.462	0.600	0.928	0.983
ADAM17	NGFR	9606.ENSP00000309968	9606.ENSP00000172229	0	0	0	0	0	0	0.900	0.240	0.920
ADAM17	MAPK14	9606.ENSP00000309968	9606.ENSP00000229795	0	0	0	0	0	0	0.900	0.323	0.929
ADAM17	ERBB2	9606.ENSP00000309968	9606.ENSP00000269571	0	0	0	0	0.049	0	0.900	0.506	0.948
ADAM17	EGFR	9606.ENSP00000309968	9606.ENSP00000275493	0	0	0	0	0.062	0	0	0.948	0.949
ADAM17	SHH	9606.ENSP00000309968	9606.ENSP00000297261	0	0	0	0	0	0	0.900	0.201	0.916
ADAM17	PRKCB	9606.ENSP00000309968	9606.ENSP00000305355	0	0	0	0	0	0	0.900	0.063	0.902
ADAM17	PRKCA	9606.ENSP00000309968	9606.ENSP00000408695	0	0	0	0	0	0	0.900	0.213	0.917
ADAM17	ERBB4	9606.ENSP00000309968	9606.ENSP00000342235	0	0	0	0	0	0.213	0.900	0.522	0.959
ADAM17	TNF	9606.ENSP00000309968	9606.ENSP00000398698	0	0	0	0	0.062	0.213	0.900	0.847	0.987
ADRA1B	CCR5	9606.ENSP00000306662	9606.ENSP00000292303	0	0	0	0.575	0	0	0.900	0.182	0.906
ADRA1B	PTGER1	9606.ENSP00000306662	9606.ENSP00000292513	0	0	0	0	0	0	0.900	0.072	0.903
ADRA1B	ADRB2	9606.ENSP00000306662	9606.ENSP00000305372	0	0	0	0.801	0	0	0.900	0.767	0.915
ADRA1B	CHRM1	9606.ENSP00000306662	9606.ENSP00000306490	0	0	0	0.676	0.076	0	0.900	0.506	0.918
ADRA1B	CCR3	9606.ENSP00000306662	9606.ENSP00000441600	0	0	0	0.581	0	0	0.900	0.074	0.901
ADRA1B	F2	9606.ENSP00000306662	9606.ENSP00000308541	0	0	0	0	0.066	0.097	0.900	0	0.908
ADRA1B	AGTR2	9606.ENSP00000306662	9606.ENSP00000360973	0	0	0	0.585	0	0	0.900	0.340	0.912
ADRA1B	TGM2	9606.ENSP00000306662	9606.ENSP00000355330	0	0	0	0	0.077	0	0.900	0.668	0.966
ADRA1B	CXCR4	9606.ENSP00000306662	9606.ENSP00000386884	0	0	0	0.609	0	0.670	0.900	0.724	0.975
ADRB2	CFTR	9606.ENSP00000305372	9606.ENSP00000003084	0	0	0	0	0	0	0.900	0.937	0.993
ADRB2	CCR5	9606.ENSP00000305372	9606.ENSP00000292303	0	0	0	0.585	0.065	0	0.900	0.458	0.920
ADRB2	PTGER1	9606.ENSP00000305372	9606.ENSP00000292513	0	0	0	0	0	0.312	0.900	0.290	0.946
ADRB2	CCR3	9606.ENSP00000305372	9606.ENSP00000441600	0	0	0	0.572	0	0	0.900	0.218	0.907
ADRB2	CHRM1	9606.ENSP00000305372	9606.ENSP00000306490	0	0	0	0.681	0.049	0	0.900	0.498	0.915
ADRB2	AGTR2	9606.ENSP00000305372	9606.ENSP00000360973	0	0	0	0.589	0	0	0.900	0.391	0.915
ADRB2	F2	9606.ENSP00000305372	9606.ENSP00000308541	0	0	0	0	0	0.097	0.900	0.173	0.918
ADRB2	PDE4A	9606.ENSP00000305372	9606.ENSP00000370078	0	0	0	0	0	0.132	0	0.914	0.922
ADRB2	CXCR4	9606.ENSP00000305372	9606.ENSP00000386884	0	0	0	0.593	0.062	0	0.900	0.960	0.940
ADRB2	GRB2	9606.ENSP00000305372	9606.ENSP00000376345	0	0	0	0	0	0.270	0	0.949	0.961
ADRB2	SRC	9606.ENSP00000305372	9606.ENSP00000362680	0	0	0	0	0	0.494	0	0.980	0.989
AGTR1	SERPINE1	9606.ENSP00000419422	9606.ENSP00000223095	0	0	0	0	0.064	0.056	0.800	0.560	0.911
AGTR1	PLCG1	9606.ENSP00000419422	9606.ENSP00000244007	0	0	0	0	0	0.292	0.900	0.700	0.976
AGTR1	NOS3	9606.ENSP00000419422	9606.ENSP00000297494	0	0	0	0	0.062	0.213	0	0.883	0.906
AGTR1	JAK2	9606.ENSP00000419422	9606.ENSP00000371067	0	0	0	0	0	0.476	0	0.952	0.973
AGTR2	PLCG1	9606.ENSP00000360973	9606.ENSP00000244007	0	0	0	0	0	0.070	0.900	0	0.903
AGTR2	CCR5	9606.ENSP00000360973	9606.ENSP00000292303	0	0	0	0.759	0	0	0.900	0.293	0.906
AGTR2	PTGER1	9606.ENSP00000360973	9606.ENSP00000292513	0	0	0	0	0	0	0.900	0.076	0.903
AGTR2	CHRM1	9606.ENSP00000360973	9606.ENSP00000306490	0	0	0	0	0.062	0	0.900	0.048	0.902
AGTR2	F2	9606.ENSP00000360973	9606.ENSP00000308541	0	0	0	0	0	0.097	0.900	0.060	0.907
AGTR2	GRB2	9606.ENSP00000360973	9606.ENSP00000376345	0	0	0	0	0	0	0.900	0.049	0.900
AGTR2	CCR3	9606.ENSP00000360973	9606.ENSP00000441600	0	0	0	0.772	0	0	0.900	0.049	0.900
AGTR2	CXCR4	9606.ENSP00000360973	9606.ENSP00000386884	0	0	0	0.719	0	0	0.900	0.218	0.905
AHCY	DNMT3A	9606.ENSP00000217426	9606.ENSP00000264709	0	0	0	0	0.045	0	0.900	0.392	0.936
AHCY	DNMT1	9606.ENSP00000217426	9606.ENSP00000352516	0.071	0	0	0	0.063	0	0.900	0.612	0.961
AHR	AR	9606.ENSP00000242057	9606.ENSP00000363822	0	0	0	0	0	0.470	0	0.833	0.908
AHR	CYP1B1	9606.ENSP00000242057	9606.ENSP00000478561	0	0	0	0	0.096	0.273	0	0.893	0.924
AHR	HSP90AB1	9606.ENSP00000242057	9606.ENSP00000360609	0	0	0	0	0	0.373	0.800	0.672	0.955
AHR	SRC	9606.ENSP00000242057	9606.ENSP00000362680	0	0	0	0	0	0	0	0.967	0.967
AHR	RELA	9606.ENSP00000242057	9606.ENSP00000384273	0	0	0	0	0	0.486	0	0.980	0.989
AHR	STAT1	9606.ENSP00000242057	9606.ENSP00000354394	0	0	0	0	0.062	0.182	0	0.988	0.990
AHR	CYP1A1	9606.ENSP00000242057	9606.ENSP00000369050	0	0	0	0	0.062	0	0.900	0.934	0.993
AHR	ESR1	9606.ENSP00000242057	9606.ENSP00000405330	0	0	0	0	0	0.873	0	0.990	0.998
AHR	HSP90AA1	9606.ENSP00000242057	9606.ENSP00000335153	0	0	0	0	0	0.885	0.900	0.990	0.999
AKR1C1	SRD5A1	9606.ENSP00000370254	9606.ENSP00000274192	0	0	0	0	0	0	0.900	0.722	0.971
AKR1C1	CYP11B1	9606.ENSP00000370254	9606.ENSP00000292427	0	0	0	0	0.062	0	0.900	0.203	0.918
AKR1C1	CYP2A6	9606.ENSP00000370254	9606.ENSP00000301141	0	0	0	0	0.063	0	0.900	0.191	0.917
AKR1C1	CYP11B2	9606.ENSP00000370254	9606.ENSP00000325822	0	0	0	0	0.062	0	0.900	0.154	0.913
AKR1C1	CYP3A4	9606.ENSP00000370254	9606.ENSP00000337915	0	0	0	0	0.062	0	0.900	0.272	0.925
AKR1C1	CYP2D6	9606.ENSP00000370254	9606.ENSP00000353820	0	0	0	0	0.062	0	0.900	0.102	0.908
AKR1C1	CYP17A1	9606.ENSP00000370254	9606.ENSP00000358903	0	0	0	0	0.062	0	0.900	0.394	0.938
AKR1C1	CYP1A1	9606.ENSP00000370254	9606.ENSP00000369050	0	0	0	0	0.063	0	0.900	0.458	0.944
AKR1C1	HSD3B2	9606.ENSP00000370254	9606.ENSP00000445122	0.044	0	0	0	0.066	0	0.900	0.491	0.948
AKR1C1	SRD5A2	9606.ENSP00000370254	9606.ENSP00000477587	0	0	0	0	0.052	0	0.900	0.527	0.951
AKT1	RPS6KB1	9606.ENSP00000451828	9606.ENSP00000225577	0	0	0.383	0.856	0.183	0.764	0.900	0.938	0.982
AKT1	NFKB1	9606.ENSP00000451828	9606.ENSP00000226574	0	0	0	0	0.066	0.176	0.900	0.526	0.958
AKT1	IL2	9606.ENSP00000451828	9606.ENSP00000226730	0	0	0	0	0	0	0.900	0.682	0.966
AKT1	MAPK14	9606.ENSP00000451828	9606.ENSP00000229795	0	0	0.303	0.623	0.083	0.830	0.600	0.769	0.956
AKT1	LNPEP	9606.ENSP00000451828	9606.ENSP00000231368	0	0	0	0	0.064	0	0.900	0.279	0.926
AKT1	HSPB1	9606.ENSP00000451828	9606.ENSP00000248553	0	0	0	0	0	0.760	0	0.982	0.995
AKT1	SMO	9606.ENSP00000451828	9606.ENSP00000249373	0	0	0	0	0	0.069	0.900	0.351	0.934
AKT1	RAF1	9606.ENSP00000451828	9606.ENSP00000251849	0	0	0	0.581	0	0.880	0.900	0.914	0.992
AKT1	MDM2	9606.ENSP00000451828	9606.ENSP00000258149	0	0	0	0	0	0.898	0.900	0.852	0.998
AKT1	PDGFRB	9606.ENSP00000451828	9606.ENSP00000261799	0	0	0	0.554	0.062	0.122	0.900	0.691	0.937
AKT1	CREBBP	9606.ENSP00000451828	9606.ENSP00000262367	0	0	0	0	0	0.528	0.900	0.576	0.978
AKT1	ITGA2B	9606.ENSP00000451828	9606.ENSP00000262407	0	0	0	0	0	0.075	0.900	0.363	0.935
AKT1	MAPK3	9606.ENSP00000451828	9606.ENSP00000263025	0	0	0.323	0.586	0.066	0.148	0.800	0.938	0.906
AKT1	EP300	9606.ENSP00000451828	9606.ENSP00000263253	0	0	0	0	0	0.885	0.900	0.903	0.998
AKT1	STAT3	9606.ENSP00000451828	9606.ENSP00000264657	0	0	0	0	0	0.140	0.900	0.875	0.988
AKT1	ERBB3	9606.ENSP00000451828	9606.ENSP00000267101	0	0	0	0	0	0.320	0.900	0.845	0.988
AKT1	TP53	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0.053	0.201	0.900	0.877	0.989
AKT1	NOS3	9606.ENSP00000451828	9606.ENSP00000297494	0	0	0	0	0.049	0.879	0.900	0.988	0.999
AKT1	HSP90B1	9606.ENSP00000451828	9606.ENSP00000299767	0	0	0	0	0	0.361	0.600	0.773	0.937
AKT1	BCL2L1	9606.ENSP00000451828	9606.ENSP00000302564	0	0	0	0	0.065	0.270	0.900	0.982	0.998
AKT1	INSR	9606.ENSP00000451828	9606.ENSP00000303830	0	0	0	0.559	0.052	0.182	0.900	0.730	0.942
AKT1	S1PR1	9606.ENSP00000451828	9606.ENSP00000305416	0	0	0	0	0	0.226	0.900	0.575	0.964
AKT1	TERT	9606.ENSP00000451828	9606.ENSP00000309572	0	0	0	0	0.055	0.723	0.900	0.769	0.993
AKT1	CASP3	9606.ENSP00000451828	9606.ENSP00000311032	0	0	0	0	0	0.475	0	0.882	0.935
AKT1	PRKDC	9606.ENSP00000451828	9606.ENSP00000313420	0	0	0	0	0.062	0.701	0.900	0.953	0.998
AKT1	EDNRA	9606.ENSP00000451828	9606.ENSP00000315011	0	0	0	0	0	0.056	0.900	0.391	0.937
AKT1	HSPA5	9606.ENSP00000451828	9606.ENSP00000324173	0	0	0	0	0	0.531	0	0.983	0.992
AKT1	GSK3B	9606.ENSP00000451828	9606.ENSP00000324806	0	0	0.218	0.576	0.049	0.934	0.900	0.873	0.996
AKT1	NOS2	9606.ENSP00000451828	9606.ENSP00000327251	0	0	0	0	0.063	0.077	0.900	0.646	0.965
AKT1	CASP9	9606.ENSP00000451828	9606.ENSP00000330237	0	0	0	0	0	0.231	0.900	0.814	0.984
AKT1	RARB	9606.ENSP00000451828	9606.ENSP00000332296	0	0	0	0	0	0.077	0.900	0.222	0.921
AKT1	HSP90AA1	9606.ENSP00000451828	9606.ENSP00000335153	0	0	0	0	0.062	0.946	0.900	0.991	0.999
AKT1	LCK	9606.ENSP00000451828	9606.ENSP00000337825	0	0	0.371	0.558	0.049	0	0.900	0.653	0.939
AKT1	PTPN11	9606.ENSP00000451828	9606.ENSP00000340944	0	0	0	0	0.090	0.138	0.900	0.752	0.978
AKT1	JAK1	9606.ENSP00000451828	9606.ENSP00000343204	0	0	0	0.571	0.062	0	0.900	0.706	0.931
AKT1	CTNNB1	9606.ENSP00000451828	9606.ENSP00000344456	0	0	0	0	0.083	0.541	0.900	0.919	0.996
AKT1	PIK3CG	9606.ENSP00000451828	9606.ENSP00000352121	0	0	0	0	0.063	0.184	0.900	0.839	0.986
AKT1	STAT1	9606.ENSP00000451828	9606.ENSP00000354394	0	0	0	0	0	0.294	0.900	0.702	0.977
AKT1	MTOR	9606.ENSP00000451828	9606.ENSP00000354558	0	0	0	0	0.081	0.904	0.900	0.991	0.999
AKT1	CHUK	9606.ENSP00000451828	9606.ENSP00000359424	0	0	0	0.593	0	0.872	0.900	0.898	0.991
AKT1	XIAP	9606.ENSP00000451828	9606.ENSP00000360242	0	0	0	0	0	0.759	0	0.821	0.955
AKT1	JUN	9606.ENSP00000451828	9606.ENSP00000360266	0	0	0	0	0	0.057	0.800	0.877	0.974
AKT1	HSP90AB1	9606.ENSP00000451828	9606.ENSP00000360609	0	0	0	0	0.062	0.819	0.600	0.780	0.983
AKT1	SRC	9606.ENSP00000451828	9606.ENSP00000362680	0	0	0.391	0.562	0.098	0.683	0.900	0.986	0.985
AKT1	RXRB	9606.ENSP00000451828	9606.ENSP00000363817	0	0	0	0	0.070	0.077	0.900	0.102	0.912
AKT1	AR	9606.ENSP00000451828	9606.ENSP00000363822	0	0	0	0	0	0.870	0	0.847	0.979
AKT1	PIK3CD	9606.ENSP00000451828	9606.ENSP00000366563	0	0	0	0	0.064	0.204	0.600	0.820	0.939
AKT1	FOXO1	9606.ENSP00000451828	9606.ENSP00000368880	0	0	0	0	0.048	0.889	0.900	0.859	0.998
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0	0.446	0.981	0.065	0.741	0.900	0.891	0.974
AKT1	GRB2	9606.ENSP00000451828	9606.ENSP00000376345	0	0	0	0	0.083	0.156	0.900	0.860	0.987
AKT1	BCL2	9606.ENSP00000451828	9606.ENSP00000381185	0	0	0	0	0.062	0	0.900	0.457	0.944
AKT1	GLI2	9606.ENSP00000451828	9606.ENSP00000390436	0	0	0	0	0.055	0.067	0.900	0.493	0.949
AKT1	JAK3	9606.ENSP00000451828	9606.ENSP00000391676	0	0	0	0.584	0.049	0	0.900	0.623	0.925
AKT1	ESR1	9606.ENSP00000451828	9606.ENSP00000405330	0	0	0	0	0.055	0.297	0.900	0.805	0.985
AKT1	PPP2CA	9606.ENSP00000451828	9606.ENSP00000418447	0	0	0	0	0.068	0.887	0.900	0.752	0.997
